# Rime table
#@/db_name	en_dicts/rust
#@/db_type	tabledb
#@/rime_version	1.11.2
#@/tick	6
as_def	asdef
as_mut	asmut
async	async
await	await
BTreeMap	btreemap
const	const
DashMap	dashmap
dyn	dyn
enum	enum
enum_dispatch	enumdispatch
env	env
Fn	fn
HashMap	hashmap
HashSet	hashset
impl	impl
jetbrains	jetbrains
mod	mod
mut	mut
pub	pub
recognizer	recognizer
redis	redis
redis-cli	rediscli
redis-server	redisserver
ref	ref
Refactor	refactor
String::from	stringfrom
String::from_utf8	stringfrom
tokio	tokio
to_string	tostring
VecDeque	vecdeque
vscode	vscode
